Rank,Movie Title,Opening,"% of
Total",Total Gross
397,Cook Up A Storm,"$11,956,938",67.7%,"$17,658,952"
398,The Nutcracker and the Four Realms,"$11,938,540",73.5%,"$16,238,604"
399,Sing,"$11,931,275",38.0%,"$31,379,920"
400,Elysium,"$11,750,000",45.7%,"$25,690,000"
401,But Always (Yi Sheng Yi Shi),"$11,740,000",32.1%,"$36,590,000"
402,Billy Lynn's Long Halftime Walk,"$11,709,630",49.3%,"$23,761,008"
403,Royal Treasure,"$11,691,118",59.0%,"$19,800,195"
404,Hindi Medium,"$11,661,447",35.6%,"$32,712,245"
405,Fei Cheng Wu Rao (If You Are the One),"$11,637,718",25.7%,"$45,257,457"
406,The Man from Macau,"$11,590,000",13.7%,"$84,570,000"
407,Wan Wu Sheng Zhang,"$11,590,000",49.1%,"$23,620,000"
408,Detective Conan: Zero The Enforcer,"$11,551,138",62.5%,"$18,483,569"
409,Song of Youth,"$11,528,966",23.2%,"$49,615,508"
410,Resident Evil: Retribution,"$11,410,000",64.2%,"$17,760,313"
411,The Forbidden Kingdom,"$11,396,011",42.4%,"$26,899,556"
412,Cry Me a Sad River,"$11,372,563",22.2%,"$51,325,368"
413,Penguins of Madagascar,"$11,370,000",27.9%,"$40,730,000"
414,Father and Son,"$11,365,407",60.6%,"$18,764,047"
415,Johnny English Strikes Again,"$11,362,898",45.6%,"$24,911,489"
416,Cloud Atlas,"$11,330,000",40.9%,"$27,710,000"
418,To the Fore,"$11,280,000",48.7%,"$23,160,000"
417,Bing Fung: Chung Sang Chi Mun (Iceman),"$11,280,000",49.5%,"$22,800,000"
419,Till the End of the World,"$11,266,268",30.5%,"$36,878,369"
420,Smurfs: The Lost Village,"$11,180,790",43.7%,"$25,558,593"
421,City of Rock,"$11,157,949",127.1%,"$8,776,582"
422,Manhunt,"$11,132,600",69.1%,"$16,116,172"
423,The Green Hornet,"$11,126,353",56.2%,"$19,804,848"
424,A Dog's Journey,"$11,114,356",38.3%,"$29,050,956"
425,Ender's Game,"$10,960,000",48.3%,"$22,710,000"
426,The Little Prince,"$10,920,000",45.4%,"$24,037,389"
427,The Transporter Refueled,"$10,892,549",59.4%,"$18,344,558"
428,Dak Siu San Fan (Special ID),"$10,870,000",43.4%,"$25,040,000"
429,Tau ming chong (The Warlords),"$10,837,171",39.3%,"$27,601,246"
430,Hercules (2014),"$10,820,000",82.2%,"$13,170,000"
431,The Expendables,"$10,765,691",33.9%,"$31,778,656"
432,Cars 3,"$10,765,019",51.7%,"$20,826,558"
433,Dumbo (2019),"$10,747,456",49.1%,"$21,889,698"
434,Andhadhun,"$10,697,610",22.7%,"$47,111,380"
435,Escape Plan 2,"$10,688,884",79.8%,"$13,396,152"
436,Transcendence,"$10,650,000",52.5%,"$20,280,000"
437,"Uchiage hanabi, shita kara miru ka? Yoko kara miru ka?","$10,635,884",89.1%,"$11,943,229"
438,Tron Legacy,"$10,624,412",56.2%,"$18,889,822"
439,The Shape of Water,"$10,607,896",63.8%,"$16,619,516"
440,New Happy Dad and Son 3: Adventure in Russia,"$10,579,027",45.7%,"$23,130,469"
441,Who Sleeps My Bro,"$10,566,273",52.6%,"$20,069,212"
442,The Huntsman Winter's War,"$10,540,151",64.7%,"$16,280,125"
443,Suddenly Seventeen,"$10,480,573",56.4%,"$18,581,123"
444,The Tourist,"$10,448,557",50.4%,"$20,745,800"
445,The Stolen Years,"$10,410,000",43.7%,"$23,840,000"
446,The Secret Life of Pets 2,"$10,371,083",46.4%,"$22,338,715"
447,Resident Evil: Afterlife,"$10,334,646",47.8%,"$21,640,678"
448,Chappie,"$10,260,000",62.6%,"$16,400,000"
449,Alpha,"$10,232,985",61.6%,"$16,604,429"
450,The Way of the Bug,"$10,202,106",33.6%,"$30,355,804"
451,One Piece Film Gold,"$10,099,809",64.8%,"$15,584,811"
452,Miss Peregrine's Home for Peculiar Children,"$10,051,003",59.1%,"$17,017,610"
453,21 Karat,"$10,014,945",58.1%,"$17,241,379"
454,A Wedding Invitation,"$9,930,000",32.4%,"$30,610,000"
455,The Smurfs 2,"$9,930,000",45.0%,"$22,060,000"
456,The Divergent Series: Allegiant,"$9,850,142",52.7%,"$18,676,215"
457,Now You See Me,"$9,810,000",42.7%,"$22,950,000"
458,Z-Storm 2 (S Storm),"$9,793,889",32.3%,"$30,327,990"
459,Mr. Go,"$9,770,000",54.4%,"$17,950,000"
460,Xi Yang Yang Yu Hui Tai Lang Zhi Xi Qi Yang Yang Guo She Nian,"$9,750,000",49.8%,"$19,570,000"
461,Solo: A Star Wars Story,"$9,727,334",59.0%,"$16,473,217"
462,A Cool Fish,"$9,622,701",8.2%,"$117,404,850"
463,Quantum of Solace,"$9,622,134",45.8%,"$21,009,412"
464,Natsume's Book of Friends The Movie: Tied to the Temporal World,"$9,596,468",56.4%,"$17,004,368"
465,Baby Driver,"$9,553,314",57.6%,"$16,576,214"
466,Jack Ryan: Shadow Recruit,"$9,550,000",36.4%,"$26,210,000"
467,The Rooftop,"$9,410,000",49.6%,"$18,990,000"
468,Divergent,"$9,370,000",76.1%,"$12,320,000"
469,The Wasted Times,"$9,361,862",52.4%,"$17,875,409"
470,The Last Witch Hunter,"$9,351,923",34.1%,"$27,404,245"
471,Three,"$9,331,522",62.3%,"$14,968,027"
472,Ferdinand,"$9,314,491",35.2%,"$26,457,430"
473,Oz The Great and Powerful,"$9,270,000",35.8%,"$25,910,000"
474,Oblivion,"$9,240,000",38.7%,"$23,860,000"
475,The Angry Birds Movie 2,"$9,238,982",46.8%,"$19,750,173"
476,The Divergent Series: Insurgent,"$9,230,000",51.2%,"$18,039,876"
477,Happy Little Submarine 20000 Leagues Under The Sea,"$9,189,817",83.9%,"$10,949,902"
478,Cheung Gong 7 hou (CJ7),"$9,175,587",35.1%,"$26,166,803"
479,Gintama,"$9,154,565",74.8%,"$12,232,143"
480,The King?s Avatar: For the Glory,"$9,150,835",76.7%,"$11,933,801"
481,Toilet: Ek Prem Katha,"$9,096,165",63.9%,"$14,229,907"
482,Twenty Two,"$9,079,261",37.0%,"$24,523,388"
483,The Wind Guardians,"$9,062,531",54.7%,"$16,558,135"
484,Meitantei Conan: Goka no himawari,"$9,060,000",72.5%,"$12,496,657"
485,Just Call Me Nobody,"$9,018,081",38.1%,"$23,668,639"
486,Ji Zhan (Unbeatable),"$8,990,000",48.5%,"$18,540,000"
487,Durante la tormenta (Mirage),"$8,951,580",54.4%,"$16,457,892"
488,Emperor's Holidays,"$8,950,000",52.6%,"$17,000,000"
489,The One (2017),"$8,944,723",60.0%,"$14,897,163"
490,Ji jie hao (Assembly),"$8,813,559",25.9%,"$34,089,912"
491,Spider-Man 3,"$8,813,428",46.6%,"$18,924,747"
492,The Mummy: Tomb of the Dragon Emperor,"$8,756,056",50.2%,"$17,450,787"
493,Heartfall Arises,"$8,702,039",52.0%,"$16,748,620"
495,Shrek Forever After,"$8,553,563",63.5%,"$13,465,361"
496,Temporary Family,"$8,550,000",52.4%,"$16,310,000"
497,The Golden Monk,"$8,548,953",61.6%,"$13,867,066"
498,La La Land,"$8,540,770",23.8%,"$35,916,658"
499,Bajrangi Bhaijaan,"$8,503,168",18.7%,"$45,534,364"
500,Wonder,"$8,496,330",28.2%,"$30,105,510"
501,Hotel Transylvania 2,"$8,483,039",45.4%,"$18,701,176"
502,Turbo,"$8,480,000",46.7%,"$18,140,000"
503,Extraordinary Mission,"$8,439,598",97.9%,"$8,619,962"
504,The Shallows,"$8,396,321",54.9%,"$15,291,870"
505,Escape Room,"$8,377,407",24.7%,"$33,980,703"
506,The Human Comedy (2019),"$8,370,465",89.6%,"$9,345,649"
507,Pleasant Goat and Big Big Wolf 3,"$8,366,801",38.5%,"$21,749,733"
508,Coward Hero,"$8,342,713",59.3%,"$14,059,651"
509,Northeast Past,"$8,330,338",54.8%,"$15,208,575"
510,Stalingrad (2013),"$8,280,000",71.9%,"$11,520,000"
511,Mr. Pride vs. Miss Prejudice,"$8,268,215",45.9%,"$18,019,651"
512,Nine Lives (2016),"$8,202,407",48.8%,"$16,793,054"
513,Ash is Purest White,"$8,192,355",81.4%,"$10,067,571"
514,One Hundred Thousand Bad Jokes 2,"$8,188,774",40.0%,"$20,460,352"
515,Eiga Doraemon: Shin Nobita no Nippon tanjou,"$8,125,739",52.1%,"$15,588,278"
516,New Happy Dad and Son 2: The Instant Genius,"$8,114,613",60.7%,"$13,375,370"
517,Cities in Love,"$8,110,000",99.9%,"$8,120,000"
518,Home (2015),"$8,020,000",29.0%,"$27,700,000"
519,Phantom of the Theatre,"$7,986,290",59.2%,"$13,482,888"
520,That Demon Within,"$7,940,000",45.6%,"$17,430,000"
521,Criminal (2016),"$7,923,905",50.2%,"$15,772,274"
522,Miss Partners,"$7,905,695",63.9%,"$12,363,592"
523,Fat Buddies,"$7,904,277",21.1%,"$37,457,752"
524,Mr. Peabody & Sherman,"$7,860,000",41.1%,"$19,130,000"
525,Bunshinsaba 2,"$7,840,000",59.7%,"$13,140,000"
526,Snowpiercer,"$7,830,000",70.5%,"$11,100,000"
527,Yat ku chan dik mou lam (Kung Fu Jungle),"$7,820,000",41.8%,"$18,710,000"
528,Tik Tok,"$7,756,005",66.3%,"$11,702,016"
529,Brick Mansions,"$7,740,000",25.9%,"$29,840,000"
530,Girls Vs Gangsters (Guimi 2),"$7,732,058",76.1%,"$10,166,181"
531,Baahubali 2: The Conclusion,"$7,684,709",64.3%,"$11,951,545"
532,Into The Storm,"$7,620,000",43.9%,"$17,340,000"
533,Sword Master (San Shao Ye De Jian),"$7,599,259",52.4%,"$14,502,045"
534,Blade Runner 2049,"$7,593,414",65.2%,"$11,651,565"
535,Kung Fu Monster,"$7,563,904",65.4%,"$11,558,566"
536,2012 (re-issue),"$7,520,451",35.0%,"$21,516,029"
537,Sacrifice,"$7,515,068",26.0%,"$28,889,962"
538,The Third Way of Love,"$7,490,000",66.5%,"$11,270,000"
539,Paddington,"$7,480,000",44.5%,"$16,790,174"
540,The Palace,"$7,470,000",87.2%,"$8,570,000"
541,Meet the Pegusus,"$7,450,000",54.1%,"$13,760,000"
542,Seer Movie 6: Invincible Puni,"$7,435,161",46.8%,"$15,874,097"
543,Eternal Wave,"$7,422,458",520.1%,"$1,427,082"
544,Only You,"$7,420,000",69.3%,"$10,710,000"
545,The Faces of My Gene,"$7,398,470",27.6%,"$26,796,279"
546,One Night Surprise,"$7,340,000",28.0%,"$26,212,189"
547,Arrival,"$7,304,646",46.0%,"$15,884,890"
548,"Lost, Found","$7,302,702",17.8%,"$41,016,766"
549,Non-Stop,"$7,280,000",43.8%,"$16,620,000"
550,Happiness is Coming,"$7,100,426",48.0%,"$14,798,770"
551,Fury (2014),"$7,100,000",37.0%,"$19,180,000"
552,The Hurricane Heist,"$7,085,419",51.9%,"$13,655,054"
553,Shoplifters,"$7,074,586",50.2%,"$14,097,096"
554,Crystal Sky of Yesterday,"$7,050,868",58.5%,"$12,061,164"
555,Asura,"$7,007,935",95.3%,"$7,353,354"
556,Yau lung hei fung (Look for a Star),"$7,007,606",46.9%,"$14,938,886"
557,Guan lan (Kung Fu Dunk),"$6,942,516",43.7%,"$15,883,165"
558,The Office,"$6,930,000",93.6%,"$7,400,000"
559,Upside Down (2012),"$6,890,000",59.4%,"$11,600,000"
560,Lobster Cop,"$6,864,985",66.9%,"$10,261,313"
561,I Love Wolffy 2,"$6,860,000",58.5%,"$11,730,000"
562,Happy Little Submarine 3 - Rainbow Treasure,"$6,820,000",77.2%,"$8,830,000"
563,On - Drakon (Dragon),"$6,814,263",77.3%,"$8,814,761"
564,Jack the Giant Slayer,"$6,790,000",80.0%,"$8,490,000"
565,The Brink,"$6,782,424",66.4%,"$10,217,493"
566,Silent Witness,"$6,760,000",23.1%,"$29,260,000"
567,The Walk,"$6,717,067",48.8%,"$13,773,172"
568,Shan zha shu zhi lian (The Love of the Hawthorn Tree),"$6,699,519",30.9%,"$21,668,944"
569,"Black Coal, Thin Ice","$6,690,000",40.6%,"$16,460,000"
570,Pompeii,"$6,680,000",42.7%,"$15,630,000"
571,I Am Somebody,"$6,680,000",67.7%,"$9,870,000"
572,Heart for Heaven,"$6,666,759",53.6%,"$12,435,610"
573,SoulMate,"$6,571,051",26.6%,"$24,684,439"
574,Sherlock: The Abominable Bride,"$6,481,089",26.6%,"$24,392,699"
575,Boruto: Naruto the Movie,"$6,440,292",41.8%,"$15,392,640"
576,Fighting (2014),"$6,440,000",55.2%,"$11,670,000"
577,The Missing (Bang jia zhe),"$6,407,132",46.1%,"$13,887,720"
578,Yugo & Lala IV,"$6,392,076",41.8%,"$15,286,513"
579,The Assassin,"$6,360,000",67.7%,"$9,400,000"
580,The Croods,"$6,340,000",10.0%,"$63,310,000"
581,Unstoppable,"$6,336,562",64.3%,"$9,854,870"
582,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$6,336,180",34.1%,"$18,569,138"
583,One Step Away,"$6,310,000",55.7%,"$11,320,000"
584,A Better Tomorrow 2018,"$6,297,189",63.2%,"$9,969,143"
585,Black Water (2018),"$6,290,165",81.3%,"$7,733,273"
586,Seer V,"$6,280,000",71.9%,"$8,730,000"
587,The Vanished Murderer,"$6,231,793",57.9%,"$10,763,405"
588,Zheng Rong Ri Ji,"$6,230,000",46.6%,"$13,380,000"
589,Cock and Bull,"$6,223,729",30.5%,"$20,399,982"
590,Bohemian Rhapsody,"$6,188,518",44.3%,"$13,980,037"
591,Sword Art Online: Ordinal Scale,"$6,143,577",76.0%,"$8,082,206"
592,Mei Lanfang (Forever Enthralled),"$6,126,184",36.8%,"$16,652,957"
593,The Secret (2016),"$6,120,454",62.7%,"$9,759,277"
594,Guardians of the Tomb,"$6,080,637",77.8%,"$7,819,473"
595,Master Z: Ip Man Legacy,"$6,057,178",31.1%,"$19,490,366"
596,Annihilation,"$6,040,637",58.4%,"$10,338,614"
597,For a Few Bullets,"$6,017,995",76.9%,"$7,828,108"
598,Mystical Adventures 3,"$5,937,231",61.1%,"$9,714,846"
599,Legend of Qin,"$5,920,000",64.0%,"$9,250,000"
600,The Mechanic,"$5,915,694",42.0%,"$14,088,244"
601,Pirates of the Caribbean: At World's End,"$5,893,832",34.7%,"$16,970,000"
602,White Snake,"$5,862,162",9.5%,"$61,597,046"
603,Kwai Boo,"$5,860,000",64.1%,"$9,140,000"
604,Red 2,"$5,850,000",65.1%,"$8,980,000"
605,Wa pei (Painted Skin),"$5,835,072",17.4%,"$33,467,300"
606,Casino Royale,"$5,827,968",49.5%,"$11,770,398"
607,The Last Women Standing,"$5,824,110",96.0%,"$6,066,913"
608,Fall in Love at First Kiss,"$5,816,347",22.6%,"$25,765,510"
609,Last Letter,"$5,782,368",49.8%,"$11,609,064"
610,The Spy Who Dumped Me,"$5,772,608",64.9%,"$8,895,647"
611,Brotherhood of Blades,"$5,760,000",40.6%,"$14,190,000"
612,Crazy New Year's Eve,"$5,760,000",56.0%,"$10,280,000"
613,Hide and Seek (2016),"$5,722,948",55.5%,"$10,315,084"
614,Iron Man,"$5,715,510",37.4%,"$15,274,332"
615,Hotel Transylvania,"$5,710,000",48.2%,"$11,850,000"
616,Roco Kingdom 4,"$5,710,000",48.3%,"$11,810,000"
617,Dragon Nest: Warriors' Dawn,"$5,690,000",64.6%,"$8,810,000"
618,Mom (2017),"$5,683,817",35.3%,"$16,082,564"
619,The Big Call,"$5,664,079",65.9%,"$8,595,808"
620,Hancock,"$5,599,561",37.1%,"$15,093,944"
621,The Lone Ranger,"$5,590,000",43.2%,"$12,940,000"
622,Everest (2015),"$5,530,855",35.8%,"$15,446,746"
623,Jack Reacher: Never Go Back,"$5,530,619",61.6%,"$8,978,036"
624,For Love or Money (2014),"$5,530,000",55.5%,"$9,960,000"
625,Kung Fu Panda,"$5,515,159",21.2%,"$26,024,298"
626,Harry Potter and the Order of the Phoenix,"$5,483,407",28.3%,"$19,410,000"
627,Sully,"$5,476,462",61.0%,"$8,985,153"
628,The Greatest Showman,"$5,440,547",34.2%,"$15,929,849"
629,As the Light Goes Out,"$5,440,000",45.8%,"$11,880,000"
630,Pei an dong ni du guo man chang sui yue (A Journey Through Time with Anthony),"$5,430,717",87.6%,"$6,195,984"
631,Z Storm,"$5,430,000",35.7%,"$15,220,000"
632,Big Baker's Unlucky Bear,"$5,423,607",29.6%,"$18,330,043"
633,Fake Fiction,"$5,420,000",49.4%,"$10,970,000"
634,Wished,"$5,406,436",52.8%,"$10,238,078"
635,"Si jie (Lust, Caution)","$5,357,980",31.3%,"$17,109,185"
636,Roco Kingdom: The Desire of Dragon,"$5,320,000",50.4%,"$10,550,000"
637,The Leaker,"$5,276,050",49.6%,"$10,626,552"
638,Prooi (Prey),"$5,218,749",79.2%,"$6,589,175"
639,Love Will Tear Us Apart,"$5,210,000",38.1%,"$13,690,000"
640,The Shadow Play,"$5,205,564",54.1%,"$9,626,679"
641,Storks,"$5,201,922",45.4%,"$11,461,078"
642,Jack Reacher,"$5,200,000",34.5%,"$15,090,000"
643,Seer III,"$5,200,000",42.5%,"$12,230,000"
644,No One's Life Is Easy: So I Married an Anti-Fan,"$5,184,944",42.8%,"$12,101,384"
645,P.K.,"$5,180,000",26.7%,"$19,380,000"
646,Mr. Black: Green Star,"$5,180,000",47.7%,"$10,849,131"
647,Padman,"$5,176,024",51.9%,"$9,981,000"
648,The Morning After,"$5,163,451",69.6%,"$7,423,443"
649,King Arthur: Legend of the Sword,"$5,155,011",61.7%,"$8,353,642"
650,Saving General Yang,"$5,130,000",53.0%,"$9,680,000"
651,Yugo & Lala 2,"$5,120,000",59.3%,"$8,630,000"
652,Keep Calm and be a Superstar,"$5,108,847",82.8%,"$6,168,544"
653,The Pirates! Band of Misfits,"$5,099,653",88.3%,"$5,777,837"
654,Scandal Maker,"$5,093,203",58.1%,"$8,772,485"
655,Hold Your Hands,"$5,083,637",30.9%,"$16,444,489"
656,The Rise of a Tomboy,"$5,056,951",51.8%,"$9,769,582"
657,A Silent Voice (Koe no katachi),"$5,046,070",75.5%,"$6,686,328"
658,Trolls,"$5,039,780",63.7%,"$7,913,005"
659,The Family (2013),"$5,020,000",58.9%,"$8,520,000"
660,The Crossing: Part 2,"$5,000,000",65.3%,"$7,660,000"
661,Detective Gui,"$4,990,000",75.6%,"$6,600,000"
662,The Monuments Men,"$4,960,000",67.5%,"$7,350,000"
663,Contratiempo (The Invisible Guest),"$4,953,927",19.1%,"$25,919,310"
664,The Old Cinderella,"$4,940,000",59.3%,"$8,330,000"
665,Free Birds,"$4,930,000",61.7%,"$7,990,000"
666,Our Time Will Come,"$4,926,101",52.8%,"$9,330,003"
667,Roco Kingdom 3,"$4,890,000",69.4%,"$7,050,000"
668,Happy Little Submarines 4 - Adventures of Octopus,"$4,880,000",66.0%,"$7,390,000"
669,Explosion,"$4,859,220",64.0%,"$7,590,093"
670,The Grandmaster 3D,"$4,850,000",49.3%,"$9,830,000"
671,National Treasure: Book of Secrets,"$4,814,159",48.4%,"$9,951,598"
672,Bad Guys Always Die (Huai dan bi xu si),"$4,794,049",98.9%,"$4,847,298"
673,Armor Hero Atlas,"$4,770,000",70.0%,"$6,810,000"
674,The Last Stand,"$4,750,000",61.0%,"$7,790,000"
675,Dancing Elephant,"$4,740,164",85.5%,"$5,542,061"
676,One Night Stud,"$4,740,000",49.0%,"$9,670,000"
677,Thugs of Hindustan,"$4,731,686",51.6%,"$9,175,792"
678,The Magical Brush,"$4,730,000",55.5%,"$8,520,000"
679,The Stool Pigeon,"$4,714,202",60.9%,"$7,741,667"
680,My Hero Academia: Two Heroes,"$4,708,596",81.5%,"$5,779,149"
681,Horse Trader,"$4,700,000",47.3%,"$9,940,000"
682,The Impossible,"$4,680,000",53.6%,"$8,730,000"
683,Legendary: Tomb of the Dragon,"$4,650,000",85.3%,"$5,450,000"
684,The Adventures of Sinbad,"$4,640,000",76.6%,"$6,060,000"
685,Jianyu (Reign of Assassins),"$4,633,435",46.8%,"$9,910,952"
686,Xiao Gong Zhen Wu Lin (Princess And Seven Kung Fu Masters),"$4,630,000",42.6%,"$10,870,000"
687,Who Is Undercover,"$4,560,000",100.0%,"$4,560,000"
688,How Are You,"$4,553,016",76.9%,"$5,921,481"
690,McDull: Me and My Mum,"$4,550,000",65.6%,"$6,932,179"
689,Olympus Has Fallen,"$4,550,000",78.2%,"$5,820,000"
691,The Ark of Mr. Chow,"$4,530,000",57.8%,"$7,840,000"
692,Seinto Seiya: Legend of Sanctuary,"$4,484,439",78.7%,"$5,698,965"
693,Crawl,"$4,473,717",47.8%,"$9,353,947"
694,Youth Never Returns (Ji ran qing chun liu bu zhu),"$4,470,000",58.5%,"$7,636,318"
695,Transporter 3,"$4,435,231",51.8%,"$8,556,760"
696,The Great Gatsby (2013),"$4,420,000",33.1%,"$13,340,000"
697,Total Recall (2012),"$4,404,288",24.5%,"$17,980,550"
698,Meow,"$4,391,230",66.0%,"$6,650,527"
699,Kill Me Please,"$4,377,054",53.1%,"$8,242,805"
700,The Crimes that Bind,"$4,374,873",44.3%,"$9,886,245"
701,Balala the Fairies,"$4,370,000",215.3%,"$2,030,000"
702,Mayday Life,"$4,358,376",61.0%,"$7,144,563"
703,Huang jin shi dai (The Golden Era),"$4,340,000",54.7%,"$7,930,000"
705,Insanity,"$4,330,000",61.2%,"$7,080,000"
704,The Boundary (2014),"$4,330,000",78.2%,"$5,540,000"
706,Loving Vincent,"$4,318,929",39.9%,"$10,831,329"
707,Tian mi mi (Together),"$4,290,000",83.8%,"$5,120,000"
708,What Women Want (Wo Zhi Nu Run Xin),"$4,275,788",41.6%,"$10,288,154"
709,Shaun the Sheep Movie,"$4,270,000",49.0%,"$8,713,376"
710,Jiang Ai (Eternal Moment),"$4,267,642",14.1%,"$30,185,688"
711,Always Miss You,"$4,267,156",24.3%,"$17,551,421"
712,Khumba,"$4,220,000",81.6%,"$5,170,000"
713,Hichiki,"$4,215,010",19.7%,"$21,410,675"
714,Detective Chinatown (Tang ren jie tan an),"$4,185,435",3.3%,"$125,112,232"
715,A Street Cat Named Bob,"$4,178,400",54.9%,"$7,606,781"
716,Lost in the White,"$4,172,585",62.8%,"$6,640,736"
717,Pleasant Goat and Big Big Wolf - Amazing Pleasant Goat,"$4,170,000",42.4%,"$9,830,000"
718,Vortex,"$4,160,553",66.8%,"$6,225,444"
719,Mortal Engines,"$4,159,444",55.7%,"$7,466,309"
720,God of War,"$4,155,029",43.7%,"$9,506,524"
721,Peace Breaker,"$4,153,394",42.4%,"$9,796,094"
722,Super Express,"$4,151,919",46.2%,"$8,980,243"
723,Doraemon: Great Adventure in the Antarctic Kachi Kochi,"$4,151,233",19.3%,"$21,468,215"
724,The Commuter,"$4,134,157",57.7%,"$7,163,071"
725,Isle Of Dogs,"$4,127,708",59.9%,"$6,894,715"
726,The Snow Queen 3: Fire and Ice,"$4,097,314",35.5%,"$11,554,062"
727,47 Meters Down,"$4,093,628",69.8%,"$5,867,377"
728,Wind Blast,"$4,046,945",42.3%,"$9,565,206"
729,Les Miserables (2012),"$4,040,000",40.8%,"$9,900,000"
730,Amazing (2013),"$4,010,000",57.4%,"$6,990,000"
731,Saam gwok dzi gin lung se gap (Three Kingdoms: Resurrection of the Dragon),"$3,984,347",42.7%,"$9,331,504"
732,Little Big Panda,"$3,970,375",56.9%,"$6,975,859"
733,Guan yin shan (Buddha Mountain),"$3,964,019",37.2%,"$10,656,489"
734,Cherry Returns,"$3,938,229",80.7%,"$4,878,197"
735,Dealer Healer,"$3,925,270",66.3%,"$5,919,976"
736,An Inspector Calls,"$3,920,000",68.8%,"$5,700,000"
737,A City Called Macau,"$3,919,544",53.5%,"$7,322,128"
738,Iceman: The Time Traveller,"$3,904,553",78.8%,"$4,957,041"
739,Inside or Outside (Zhen xiang jin qu),"$3,904,377",61.7%,"$6,323,457"
741,Assassination (2015),"$3,900,000",57.9%,"$6,730,000"
740,"Lock Me Up, Tie Him Down","$3,900,000",84.1%,"$4,640,000"
742,Smallfoot,"$3,898,210",36.1%,"$10,808,893"
743,The Chronicles of Narnia: Prince Caspian,"$3,894,306",31.1%,"$12,522,570"
744,I Am Your Mom,"$3,882,239",67.6%,"$5,743,612"
745,The Sorcerer's Apprentice,"$3,845,813",42.5%,"$9,048,334"
746,Le Paon de Nuit,"$3,790,692",75.1%,"$5,045,207"
747,Ekipazh (The Crew),"$3,785,148",82.1%,"$4,613,127"
748,Sky on Fire (Chongtian huo),"$3,781,740",72.2%,"$5,235,480"
749,Deepwater Horizon,"$3,753,794",35.7%,"$10,507,817"
750,GG Bond 2,"$3,750,000",56.2%,"$6,670,000"
751,Parasyte: Part 1,"$3,735,951",51.7%,"$7,229,631"
752,One Night Only,"$3,713,997",69.4%,"$5,350,348"
753,Animal Crackers (2018),"$3,711,287",39.1%,"$9,491,330"
754,Days of Our Own,"$3,703,437",56.6%,"$6,545,251"
755,Da Hufa,"$3,684,560",28.3%,"$13,006,233"
756,Rock Dog,"$3,671,512",64.6%,"$5,684,785"
757,The Right Mistake,"$3,660,000",64.8%,"$5,650,000"
758,Always Be With You,"$3,659,710",51.9%,"$7,052,423"
759,My New Sassy Girl,"$3,658,024",70.1%,"$5,221,914"
760,Destiny: The Tale of Kamakura,"$3,652,421",52.1%,"$7,005,620"
761,The Incredible Hulk,"$3,652,354",40.9%,"$8,929,638"
762,Valkyrie,"$3,650,221",45.4%,"$8,041,799"
763,Epic,"$3,650,000",45.5%,"$8,030,000"
764,Dude's Manual,"$3,645,321",66.5%,"$5,483,317"
765,Left Behind (2014),"$3,627,436",68.0%,"$5,331,602"
766,Fate/stay night: Heaven's Feel Ch.1 - Presage Flower,"$3,610,262",77.0%,"$4,685,622"
767,Sweet Alibis,"$3,600,000",63.2%,"$5,700,000"
768,Bunshinsaba 3,"$3,590,000",45.5%,"$7,890,000"
769,Return of the Cuckoo,"$3,582,745",60.4%,"$5,935,787"
770,"10,000 B.C.","$3,582,301",33.0%,"$10,851,097"
771,Love Without Distance,"$3,580,000",70.2%,"$5,100,000"
772,The LEGO Batman Movie,"$3,553,418",58.1%,"$6,114,589"
773,The Water Horse: Legend of the Deep,"$3,550,958",40.6%,"$8,752,718"
774,My Best Friend's Wedding (2016),"$3,544,568",63.3%,"$5,603,369"
775,The Adventure of Afanti,"$3,536,600",31.8%,"$11,113,411"
776,San kei hap lui (Mr. and Mrs. Incredible),"$3,512,255",46.0%,"$7,632,704"
777,Control (2013),"$3,510,000",50.0%,"$7,020,000"
778,"So Long, My Son","$3,500,893",53.0%,"$6,601,881"
779,Pan,"$3,450,000",100.0%,"$3,450,000"
780,Time to Love,"$3,430,000",100.0%,"$3,430,000"
781,Nice To Meet You,"$3,425,416",42.5%,"$8,051,388"
782,Power Rangers (2017),"$3,399,232",80.0%,"$4,246,955"
783,The Last Airbender,"$3,388,332",74.8%,"$4,527,705"
784,Taxi 5,"$3,364,875",73.7%,"$4,567,606"
785,Wanted,"$3,359,675",31.3%,"$10,747,059"
786,Duck Duck Goose,"$3,356,008",57.2%,"$5,865,892"
787,I Am Number Four,"$3,351,686",19.3%,"$17,328,244"
788,Detective Conan: The Darkest Nightmare (Meitantei Konan: Junkoku no naitomea),"$3,328,063",74.5%,"$4,465,704"
789,Wonder Park,"$3,272,277",48.3%,"$6,779,030"
790,Homefront,"$3,250,000",65.5%,"$4,960,000"
791,Ice Age: The Meltdown 3D,"$3,246,899",55.4%,"$5,855,762"
792,Lost in the Pacific,"$3,224,556",61.2%,"$5,266,673"
793,Fate/Stay Night: Heaven's Feel - II. Lost Butterfly,"$3,218,172",75.4%,"$4,265,312"
794,Friend Zone,"$3,194,108",95.2%,"$3,354,666"
795,Chronicles of the Ghostly Tribe,"$3,190,000",3.0%,"$106,380,000"
796,102 Not Out,"$3,155,334",72.2%,"$4,371,679"
